# tools/english/messages.tsv — Diagnose- und Ausgabetexte, deutsch -> englisch.
# Links steht der EXAKTE Rumpf des Zeichenkettenliterals aus dem Quelltext
# (mit Maskierungen wie \0, \n, \"), rechts der englische Rumpf.
# Beide Uebersetzer teilen diese Tabelle, damit firnc0 und firnc1
# ZEICHENGLEICHE Meldungen ausgeben. Angewandt von messages.py.
    # asm (volatile): darf weder entfernt noch verschoben werden	    # asm (volatile): must be neither removed nor moved
    # barrier: undurchsichtig fuer jeden Optimierungsdurchgang	    # barrier: opaque to every optimization pass
namenskonflikt: modul '{}' kommt aus zwei dateien	name conflict: module '{}' comes from two files
namenskonflikt: modul \0	name conflict: module \0
nicht abgeschlossen	not terminated
nicht erlaubt	not allowed
nicht verkettbar	not linkable
nicht vollstaendig	not exhaustive
nichts haette wandern duerfen	nothing should have moved
nichts hochgezogen	nothing hoisted
nur direkte funktionsnamen koennen aufgerufen werden (zeigeraufrufe werden in Stufe 0 nicht unterstuetzt)	only direct function names can be called (pointer calls are not supported in stage 0)
nur im profil 'kernel'	only in profile 'kernel'
nur zuweisungen an eine lokale variable (kein feld, kein index)	only assignments to a local variable (no field, no index)
nur {} tabelleneintraege	only {} table entries
nutzdaten einer variante koennen nicht den typ '()' haben	the payload of a variant cannot have the type '()'
nutzdatenfeld ohne offset	payload field without offset
nutzdatenfeld ohne typ	payload field without type
nutzdatenwert {} von '{}::{}' hat typ {}, erwartet {}	payload value {} of '{}::{}' has type {}, expected {}
ohne abschliessendes	without a closing
operator '{}' erwartet ganzzahltypen, gefunden {} und {}	operator '{}' expects integer types, found {} and {}
operator '{}' erwartet operanden vom typ bool, gefunden {}	operator '{}' expects operands of type bool, found {}
operator '{}' erwartet zwei operanden desselben ganzzahltyps, gefunden {} und {}	operator '{}' expects two operands of the same integer type, found {} and {}
operator '{}' erwartet zwei operanden desselben typs, gefunden {} und {}	operator '{}' expects two operands of the same type, found {} and {}
operator '{}' ist fuer den typ {} nicht definiert	operator '{}' is not defined for the type {}
operator '{}' ist fuer f64 nicht definiert	operator '{}' is not defined for f64
paket '{}' ist keine abhaengigkeit von paket '{}'	package '{}' is not a dependency of package '{}'
paket '{}' steht mehrfach als abhaengigkeit im manifest	package '{}' appears more than once as a dependency in the manifest
paket \0	package \0
paketzyklus: \0	package cycle: \0
paketzyklus: {}	package cycle: {}
parameter '{}' ist bereits deklariert	parameter '{}' is already declared
parameter {} von '{}.{}' hat typ {}, die schnittstelle '{}' verlangt {}	parameter {} of '{}.{}' has type {}, the interface '{}' requires {}
position fehlt:\n{}	position missing:\n{}
register '{}' ist im asm-block nicht erlaubt ({})	register '{}' is not allowed in the asm block ({})
rueckgabe ohne wort	return without word
rufe sie ueber eine schranke auf: 'fn f[T: {}](x: *T)' — dort steht der typ fest	call it via a bound: 'fn f[T: {}](x: *T)' — there the type is fixed
schnittstellenmethode ohne signatur im lowering	interface method without signature in lowering
schnittstellenwert aus einem nicht-zeiger	interface value from a non-pointer
schnittstellenwert aus einem zeiger ohne struct	interface value from a pointer without struct
schnittstellenwert ohne struct-typ	interface value without struct type
schreibe 'profile kernel' in die erste zeile oder uebersetze mit --profile=kernel	write 'profile kernel' in the first line or compile with --profile=kernel
schreibe das attribut vor die einzelne methode	write the attribute before the individual method
schreibe den rueckgabetyp als 'E!T' oder benutze 'catch'	write the return type as 'E!T' or use 'catch'
secret[T] und die Constant-Time-Primitive (SPEC §9) sind nicht umgesetzt; siehe ACCEPTANCE.md	secret[T] and the constant-time primitives (SPEC §9) are not implemented; see ACCEPTANCE.md
sie kommt mit der GC-Laufzeit (lib/gc/gc.fi) und wird automatisch eingezogen	it comes with the GC runtime (lib/gc/gc.fi) and is pulled in automatically
signatur von f	signature of f
source 's' steht mehrfach	source 's' appears more than once
source '{}' steht mehrfach im manifest	source '{}' appears more than once in the manifest
spalte {}: {}	column {}: {}
stabiles ABI ueber Komponentengrenzen (DESIGN_GOALS 4)	stable ABI across component boundaries (DESIGN_GOALS 4)
steht mehrfach als abhaengigkeit	appears more than once as a dependency
struct '{}' enthaelt sich selbst (direkt oder indirekt)	struct '{}' contains itself (directly or indirectly)
struct '{}' hat kein feld '{}'	struct '{}' has no field '{}'
struct '{}' ist bereits deklariert	struct '{}' is already declared
struct-literal '{}' fehlt das feld '{}'	struct literal '{}' is missing the field '{}'
struct-literal ohne struct-typ	struct literal without struct type
switch-Wert ging ueber den Rahmen:\n{}	switch value went out of range:\n{}
syscall mit mehr als 6 Argumenten	syscall with more than 6 arguments
syscall mit {} Argumenten	syscall with {} arguments
tabelle nicht in .rodata:\n{}	table not in .rodata:\n{}
testprogramm fehlt	test program missing
to_utf8   nichts (ungepaartes surrogat)\n	to_utf8   nothing (unpaired surrogate)\n
to_utf8 muss scheitern	to_utf8 must fail
typ '{}' hat keine methode '{}'	type '{}' has no method '{}'
typ '{}' ist bereits deklariert	type '{}' is already declared
typ '{}' setzt die schnittstelle '{}' nicht um — schranke am typparameter '{}' von '{}'	type '{}' does not implement the interface '{}' — bound on the type parameter '{}' of '{}'
typ des array-literals ist nicht ableitbar	the type of the array literal cannot be inferred
typ des ganzzahlausdrucks in 'match' ist nicht ableitbar	the type of the integer expression in 'match' cannot be inferred
typ des ganzzahlliterals ist nicht ableitbar	the type of the integer literal cannot be inferred
typ ist zu tief verschachtelt (mehr als 200 ebenen)	type is nested too deeply (more than 200 levels)
typargument '{}' erfuellt die schranke '{}' des typparameters '{}' von '{}' nicht	type argument '{}' does not satisfy the bound '{}' of the type parameter '{}' of '{}'
typparameter '{}' ist bereits deklariert	type parameter '{}' is already declared
ueberfluessige Nullerweiterung:\n{}	superfluous zero extension:\n{}
umsetzung ohne methodentafel im lowering	implementation without method table in lowering
umwandlung in einen nicht-schnittstellentyp	conversion into a non-interface type
umwandlung von P nach i32 ist nicht erlaubt	conversion from P to i32 is not allowed
umwandlung von {} nach {} ist nicht erlaubt	conversion from {} to {} is not allowed
unaeres '!' erwartet den typ bool, gefunden {}	unary '!' expects the type bool, found {}
unaeres '-' erwartet einen ganzzahltyp, gefunden {}	unary '-' expects an integer type, found {}
unbalancierte klammer in einer interpolation: '{' im ausdruck	unbalanced brace in an interpolation: '{' inside the expression
unbalancierte klammer in einer interpolation: '{' ohne '}'	unbalanced brace in an interpolation: '{' without '}'
unbalancierte klammer in einer interpolation: '}' ohne '{'	unbalanced brace in an interpolation: '}' without '{'
unbekannte Baustufe '{}' (erlaubt: dev, dev-fast, release-safe, release-fast)	unknown build level '{}' (allowed: dev, dev-fast, release-safe, release-fast)
unbekannte Option '{}'	unknown option '{}'
unbekannte aufzaehlung '{}'	unknown enum '{}'
unbekannte basisklasse '{}'	unknown base class '{}'
unbekannte fehlermenge '{}'	unknown error set '{}'
unbekannte funktion	unknown function
unbekannte funktion '{}'	unknown function '{}'
unbekannte funktion im lowering	unknown function in lowering
unbekannte gc-klasse '{}'	unknown gc class '{}'
unbekannte generische funktion '{}'	unknown generic function '{}'
unbekannte maskierung	unknown escape
unbekannte maskierung '\\	unknown escape '\\
unbekannte maskierung '\\{}'	unknown escape '\\{}'
unbekannte methode im lowering	unknown method in lowering
unbekannte schnittstelle '{}'	unknown interface '{}'
unbekannte schnittstelle '{}' als schranke am typparameter '{}' von '{}'	unknown interface '{}' as bound on the type parameter '{}' of '{}'
unbekannte schnittstellenmethode im lowering	unknown interface method in lowering
unbekannte variante im lowering	unknown variant in lowering
unbekannter Name im Nachtrag muss auffallen	unknown name in the addendum must be noticed
unbekannter Optimierungsdurchgang '{}' — '--list-passes' zeigt alle	unknown optimization pass '{}' — '--list-passes' shows all
unbekannter Sprung {}	unknown jump {}
unbekannter asm-block im lowering	unknown asm block in lowering
unbekannter binaeroperator	unknown binary operator
unbekannter generischer struct '{}'	unknown generic struct '{}'
unbekannter musterabgleich	unknown pattern match
unbekannter name	unknown name
unbekannter name 'nix'	unknown name 'nix'
unbekannter name '{}'	unknown name '{}'
unbekannter name im lowering	unknown name in lowering
unbekannter operator	unknown operator
unbekannter registername '{}' im asm-block ({})	unknown register name '{}' in the asm block ({})
unbekannter schluessel 'publi'	unknown key 'publi'
unbekannter schluessel '{}' (erlaubt: package, version, start, source, public, needs)	unknown key '{}' (allowed: package, version, start, source, public, needs)
unbekannter schluessel \0	unknown key \0
unbekannter struct-typ '{}'	unknown struct type '{}'
unbekannter typ 'T'	unknown type 'T'
unbekannter typ '{}'	unknown type '{}'
unbekanntes Ausgabeziel '{}'	unknown output target '{}'
unbekanntes asm-register '{}'	unknown asm register '{}'
unbekanntes attribut '{}'	unknown attribute '{}'
unbekanntes feld im lowering	unknown field in lowering
unbekanntes feld in der gc-allokation	unknown field in the gc allocation
unbekanntes profil '{}'	unknown profile '{}'
unbekanntes profil '{}' (erlaubt: kernel, app)	unknown profile '{}' (allowed: kernel, app)
unbekanntes zeichen '	unknown character '
unbekanntes zeichen '{}' im quelltext	unknown character '{}' in the source text
unerreichbare Bloecke und unbenutzte reine Instruktionen entfernen	remove unreachable blocks and unused pure instructions
unerwartete Tabelle:\n{}	unexpected table:\n{}
unerwartete fehler:\n{}	unexpected errors:\n{}
unerwarteter fehler:\n{}	unexpected error:\n{}
ungueltige version '1.0'	invalid version '1.0'
ungueltige version '{}' (erwartet zahl.zahl.zahl)	invalid version '{}' (expected number.number.number)
ungueltige version \0	invalid version \0
ungueltiger name '1a'	invalid name '1a'
ungueltiger name '{}' (buchstabe zuerst, dann buchstaben, ziffern, unterstrich)	invalid name '{}' (letter first, then letters, digits, underscore)
ungueltiger name \0	invalid name \0
ungueltiger pfad '../x.fi'	invalid path '../x.fi'
ungueltiger pfad '/x.fi'	invalid path '/x.fi'
ungueltiger pfad '{}' (relativ, ohne '..')	invalid path '{}' (relative, without '..')
ungueltiger pfad \0	invalid path \0
ungueltiges zeichen '	invalid character '
ungueltiges zeichen '{}' in einem ganzzahlliteral zur basis {}	invalid character '{}' in an integer literal to base {}
unterbrechungs-einsprungpunkt: alle register retten, iretq (SPEC 2)	interrupt entry point: save all registers, iretq (SPEC 2)
unterstes Bit	lowest bit
unvollstaendiges match muss ein fehler sein:\n{}	an inexhaustive match must be an error:\n{}
variante '{}' ist in aufzaehlung '{}' bereits deklariert	variant '{}' is already declared in enum '{}'
variante '{}::{}' erwartet {} nutzdatenwert(e), gefunden {}	variant '{}::{}' expects {} payload value(s), found {}
variantenmuster auf nicht-aufzaehlung	variant pattern on a non-enum
variantenmuster ohne aufzaehlung	variant pattern without enum
vergleich erwartet zwei fehlerwerte derselben menge, gefunden {} und {}	comparison expects two error values of the same set, found {} and {}
vergleich zwischen unterschiedlichen typen {} und {}	comparison between different types {} and {}
vergleiche sind nicht verkettbar, setze klammern um den ersten vergleich	comparisons are not chainable, put parentheses around the first comparison
verschiebeweite ausserhalb 0..63	shift amount outside 0..63
verschiebeweite im konstanten ausdruck ist zu gross	shift amount in the constant expression is too large
vor 'impl' ist kein attribut erlaubt	no attribute is allowed before 'impl'
vor 'interface' ist kein attribut erlaubt	no attribute is allowed before 'interface'
wahrheitswert vom typ bool erwartet	truth value of type bool expected
wiederholungsliteral ohne array-typ	repetition literal without array type
wiederholungsliteral ohne wert	repetition literal without value
zahl {} passt nicht in den typ {}	number {} does not fit into the type {}
zahlenmuster auf nicht skalarem feld	number pattern on a non-scalar field
zahlenmuster passt nicht zum typ {}	number pattern does not fit the type {}
zeichen '	character '
zeichenkettenliteral ohne abschliessendes \"	string literal without a closing \"
zeiger sind im konstanten ausdruck nicht erlaubt	pointers are not allowed in a constant expression
zeigeroperationen gibt es zur uebersetzungszeit nicht	pointer operations do not exist at compile time
zu tief verschachtelt (mehr als {} ebenen)	nested too deeply (more than {} levels)
zu wenige Register vergeben: {}	too few registers assigned: {}
zur Laufzeit austauschbar (DESIGN_GOALS 9, ohne Termin)	exchangeable at run time (DESIGN_GOALS 9, no date)
zuweisung erwartet typ {}, gefunden {}	assignment expects type {}, found {}
zwei MMIO-Lasten wurden zu einer:\n{}	two MMIO loads became one:\n{}
zwischen anfang und ende des bereichs	between start and end of the range
{ganzzahl}	{integer}
{} '{}' erwartet {} typargument(e), gefunden {}	{} '{}' expects {} type argument(s), found {}
{} Fehler gefunden\n	{} errors found\n
{} darf kein u\"…\"-literal sein	{} must not be a u\"…\" literal
{} gilt unerwartet als umgesetzt	{} unexpectedly counts as implemented
{} muss gueltiges UTF-8 sein	{} must be valid UTF-8
{}:{}: abhaengigkeit '{}' hat kein manifest	{}:{}: dependency '{}' has no manifest
{}:{}: abhaengigkeit '{}' zeigt auf paket '{}'	{}:{}: dependency '{}' points to package '{}'
'datei_byte' erwartet pfad und index	'file_byte' expects path and index
'datei_groesse' erwartet genau ein argument	'file_size' expects exactly one argument
'emit_roh' erwartet genau ein argument	'emit_raw' expects exactly one argument
'emit_zahl' erwartet genau ein argument	'emit_number' expects exactly one argument
'stark' erwartet einen GcWeak[T], gefunden {}	'strong' expects a GcWeak[T], found {}
'weak' erwartet einen Gc[T], gefunden {}	'weak' expects a Gc[T], found {}
Funktion	function
Modul	module
hier	here
lea_moeglich hat den Fall zugesichert	lea_possible has guaranteed the case
lea_moeglich verlangt ein Zielregister	lea_possible requires a target register
nach '#'	after '#'
nach '.as?'	after '.as?'
nach '::'	after '::'
nach '::' im muster	after '::' in the pattern
nach 'Gc'/'GcWeak'	after 'Gc'/'GcWeak'
nach 'GcVec'/'GcMap'	after 'GcVec'/'GcMap'
nach 'comptime'	after 'comptime'
nach 'const'	after 'const'
nach 'else'	after 'else'
nach 'enum'	after 'enum'
nach 'error'	after 'error'
nach 'export'	after 'export'
nach 'extends'	after 'extends'
nach 'fn'	after 'fn'
nach 'for'	after 'for'
nach 'gc class'	after 'gc class'
nach 'gc_null'/'weak_null'	after 'gc_null'/'weak_null'
nach 'impl'	after 'impl'
nach 'interface'	after 'interface'
nach 'profile'	after 'profile'
nach 'size_of['	after 'size_of['
nach 'struct'	after 'struct'
nach 'syscall'	after 'syscall'
nach '{}'	after '{}'
ohne #[no_gc]	without #[no_gc]
to_utf8   nichts	to_utf8   nothing
typ des literals ...	type of the literal ...
leerer dateiname                               	empty file name                                
typ {:?}	type {:?}
    # interrupt: alle universalregister retten	    # interrupt: save all general purpose registers
  ({} asm-bloecke)	  ({} asm blocks)
  fehler 	  error 
  gleit_langsam 	  float_slow 
  hinweis: 	  note: 
  hinweis: {}\n	  note: {}\n
 (buchstabe zuerst, dann buchstaben, ziffern, unterstrich)\0	 (letter first, then letters, digits, underscore)\0
 <pfad>' in \0	 <path>' in \0
 = hinweis: 	 = note: 
 ausrichtung 	 align 
 klasse 	 class 
 nennt sich selbst \0	 names itself \0
 versatz 	 offset 
' in einem ganzzahlliteral zur basis 	' in an integer literal to base 
'{}' hat: {}	'{}' has: {}
'{}' nennt sich selbst '{}'	'{}' names itself '{}'
'{}' setzen um: {}	'{}' implement: {}
'{}.{}' liefert {}, die schnittstelle '{}' verlangt {}	'{}.{}' returns {}, the interface '{}' requires {}
(fehler)	(error)
(leer)	(empty)
(programm\n	(program\n
(ruf 	(call 
(ruf {}	(call {}
.L__gc_typtabelle	.L__gc_typetable
.L__gc_typtabelle.s	.L__gc_typetable.s
.L__gc_typtabelle.w	.L__gc_typetable.w
.L__gc_typtabelle:	.L__gc_typetable:
.L__gc_zustand	.L__gc_state
.L__gc_zustand:	.L__gc_state:
0.1.0 (Stufe 0)	0.1.0 (stage 0)
<fehler>	<error>
<gc-suche>	<gc-search>
<import-suche>	<import-search>
Adressrechnung blieb stehen:\n{}	address computation remained:\n{}
Fehler	error
Kopien fortpflanzen, algebraische Identitaeten	propagate copies, algebraic identities
NEIN	NO
Registerpfad zustaendig	register path responsible
Skalierung blieb stehen:\n{}	scaling remained:\n{}
Sprungfaedelung durch Bool-Zellen (Kurzschluss && / ||)	jump threading through bool cells (short circuit && / ||)
Stufe 0	stage 0
aggregat-parameter abgelehnt:\n{}	aggregate parameter rejected:\n{}
als_str16 	as_str16 
atom      {} (tabelle {} eintraege, leer {}, wtf8 {})\n	atom      {} (table {} entries, empty {}, wtf8 {})\n
bedingter Sprung: {}	conditional jump: {}
bedingter sprung in 'waehle': {}\n{}	conditional jump in 'select': {}\n{}
beide fehlermengen muessen dieselbe sein	both error sets must be the same
benutze 'var' statt 'let'	use 'var' instead of 'let'
beweisbar immer erfuellte Bereichspruefungen entfernen	remove provably always satisfied bounds checks
comptime: division durch null	comptime: division by zero
comptime: mehr als {} schritte — endlosschleife?	comptime: more than {} steps — endless loop?
die variante {} ist	the variant {} is
division durch null	division by zero
ein gleitkommaliteral	a floating point literal
einen struct	a struct
einheiten 	units 
enthaelt sich selbst	contains itself
ergaenze 'needs {} <pfad>' in '{}'	add 'needs {} <path>' in '{}'
error: 'as' schlug fehl ({})	error: 'as' failed ({})
error: 'ld' schlug fehl ({})	error: 'ld' failed ({})
es fehlen die typargumente	the type arguments are missing
fehler:\n{}	error:\n{}
gleitkomma	floating point
haeufige atome haben kleine nummern	frequent atoms have small numbers
hinweis: '{} --help' zeigt die Optionen	note: '{} --help' shows the options
hinweis: \0	note: \0
in einem textsegment einer interpolation: {}	in a text segment of an interpolation: {}
inline: {} <- {} ({} insts, {} bloecke)	inline: {} <- {} ({} insts, {} blocks)
konst	const
konst 	const 
layout-programm fehlerhaft:\n{}	layout program faulty:\n{}
lea rax, [rip + .L__gc_zustand]	lea rax, [rip + .L__gc_state]
literal sollte gueltig sein	literal should be valid
manifest sollte gueltig sein	manifest should be valid
mehr als 2000000 schritte — endlosschleife?	more than 2000000 steps — endless loop?
mehr als 64 verschachtelte aufrufe	more than 64 nested calls
mehr als eine 'profile'-deklaration	more than one 'profile' declaration
meintest du '{}'? '--list-attrs' zeigt alle	did you mean '{}'? '--list-attrs' shows all
methode 	method 
nein	no
nutzdaten	payload
oktette   	octets    
opt: {} Konstanten gefaltet, {} Instruktionen entfernt, {} Bloecke entfernt	opt: {} constants folded, {} instructions removed, {} blocks removed
profil:     {}{}	profile:    {}{}
rest bei division durch null	remainder on division by zero
schleifeninvariante Berechnungen in den Vorkopf ziehen	hoist loop invariant computations into the preheader
schreibe '(&x) as dyn {}'	write '(&x) as dyn {}'
schreibe (*x).{}(…)	write (*x).{}(…)
schreibe (*x).{}(…), wenn die kopie gemeint ist	write (*x).{}(…) if the copy is meant
schreibe z. B. 'a[i as usize]'	write e.g. 'a[i as usize]'
schreibe z. B. 'for i in 0 as usize..n'	write e.g. 'for i in 0 as usize..n'
schreibe z. B. 'x as i32'	write e.g. 'x as i32'
secure_zero entfernt:\n{}	secure_zero removed:\n{}
umgesetzt	implemented
unbedingter Sprung hinter bedingtem:\n{}	unconditional jump after conditional:\n{}
ungepaartes surrogat U+	unpaired surrogate U+
ungepaartes surrogat U+D800	unpaired surrogate U+D800
ungepaartes surrogat U+DC00	unpaired surrogate U+DC00
vier hexadezimalziffern	four hexadecimal digits
waehle:	select:
{} = hinweis: {}\n	{} = note: {}\n
{} vergleiche statt tabelle:\n{}	{} comparisons instead of table:\n{}
{}\"…\" ({} elemente)	{}\"…\" ({} elements)
 (erlaubt: package, version, start, source, public, needs)\0	 (allowed: package, version, start, source, public, needs)\0
